FIPS_code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2020,Total Poverty,Childhood Poverty (0-17),Childhood Poverty (5-17)
00000,US,United States,,,,,"38,371,394",11.9,15.7,14.9
01000,AL,Alabama,,,,,"714,568",14.9,20.9,19.7
01001,AL,Autauga County,2,2,2,2,"6,242",11.2,14.9,14.5
01003,AL,Baldwin County,4,5,3,2,"20,189",8.9,12.4,11.8
01005,AL,Barbour County,6,6,6,6,"5,548",25.5,37.5,35.8
01007,AL,Bibb County,1,1,1,1,"3,549",17.8,21.9,22.1
01009,AL,Blount County,1,1,1,1,"7,525",13.1,18.9,15.8
01011,AL,Bullock County,6,6,6,6,"2,552",30.8,38.7,37.0
01013,AL,Butler County,6,6,6,6,"3,954",20.6,30.8,29.8
01015,AL,Calhoun County,3,2,3,2,"15,915",14.5,16.7,16.7
01017,AL,Chambers County,6,5,6,5,"5,266",16.3,26.2,26.1
01019,AL,Cherokee County,8,6,6,6,"3,827",14.7,23.3,22.2
01021,AL,Chilton County,1,1,1,1,"6,094",13.9,21.0,19.7
01023,AL,Choctaw County,9,10,9,10,"2,506",20.4,28.9,27.9
01025,AL,Clarke County,7,11,7,11,"4,471",19.5,28.7,28.3
01027,AL,Clay County,9,10,9,10,"1,818",14.2,23.8,23.6
01029,AL,Cleburne County,8,4,8,4,"2,099",14.2,19.5,19.0
01031,AL,Coffee County,6,5,4,5,"7,303",13.9,20.6,19.3
01033,AL,Colbert County,3,2,3,2,"7,864",14.4,20.9,20.3
01035,AL,Conecuh County,9,11,7,11,"2,701",22.9,35.1,33.2
01037,AL,Coosa County,8,7,8,3,"1,808",17.4,28.8,26.5
01039,AL,Covington County,7,9,6,6,"6,219",17.1,22.6,21.6
01041,AL,Crenshaw County,8,6,8,6,"2,262",16.8,25.6,24.3
01043,AL,Cullman County,6,3,4,3,"10,381",12.5,17.4,17.0
01045,AL,Dale County,4,5,4,5,"7,440",15.5,26.1,25.2
01047,AL,Dallas County,4,5,4,5,"9,471",26.7,42.3,38.6
01049,AL,DeKalb County,6,6,6,6,"10,778",15.2,20.2,19.2
01051,AL,Elmore County,2,2,2,2,"8,972",11.5,16.6,16.1
01053,AL,Escambia County,6,6,6,6,"6,892",20.4,26.1,25.6
01055,AL,Etowah County,3,2,3,2,"15,650",15.6,22.9,22.9
01057,AL,Fayette County,6,6,6,6,"2,640",16.5,23.7,22.6
01059,AL,Franklin County,6,6,6,6,"5,357",17.2,22.9,21.7
01061,AL,Geneva County,3,2,3,2,"5,492",21.0,32.0,31.1
01063,AL,Greene County,3,2,8,6,"2,210",27.9,43.5,41.1
01065,AL,Hale County,3,2,3,2,"3,166",21.9,30.0,28.5
01067,AL,Henry County,3,2,3,2,"2,743",16.2,23.5,22.5
01069,AL,Houston County,3,2,3,2,"15,534",14.8,23.4,21.2
01071,AL,Jackson County,6,5,6,5,"7,777",15.3,23.4,20.2
01073,AL,Jefferson County,1,1,1,1,"92,310",14.4,20.1,20.2
01075,AL,Lamar County,9,10,8,7,"2,348",17.4,21.3,20.6
01077,AL,Lauderdale County,3,2,3,2,"12,630",13.9,19.9,17.5
01079,AL,Lawrence County,3,2,3,2,"5,005",15.4,21.9,20.8
01081,AL,Lee County,3,2,3,2,"28,901",17.9,16.8,14.9
01083,AL,Limestone County,2,2,2,2,"10,285",10.4,14.3,12.9
01085,AL,Lowndes County,2,2,2,2,"2,083",21.9,38.1,38.5
01087,AL,Macon County,6,5,6,6,"4,543",27.9,39.3,40.1
01089,AL,Madison County,2,2,2,2,"39,100",10.5,13.5,12.9
01091,AL,Marengo County,7,11,7,11,"3,370",18.3,30.2,29.2
01093,AL,Marion County,8,4,7,11,"4,843",16.8,23.6,21.5
01095,AL,Marshall County,4,5,4,5,"14,754",15.4,24.6,21.3
01097,AL,Mobile County,2,2,2,2,"71,398",17.6,27.3,24.9
01099,AL,Monroe County,7,11,7,11,"4,552",22.5,29.9,28.3
01101,AL,Montgomery County,2,2,2,2,"44,058",20.4,28.4,25.7
01103,AL,Morgan County,3,2,3,2,"16,995",14.4,20.1,16.6
01105,AL,Perry County,8,6,8,4,"2,443",30.7,44.2,43.8
01107,AL,Pickens County,8,6,3,2,"4,050",22.7,31.2,31.5
01109,AL,Pike County,6,5,6,5,"6,101",19.7,28.3,27.3
01111,AL,Randolph County,6,4,6,4,"3,933",17.5,27.3,26.2
01113,AL,Russell County,2,2,2,2,"11,702",20.3,31.7,28.3
01115,AL,St. Clair County,1,1,1,1,"9,384",10.5,14.6,13.3
01117,AL,Shelby County,1,1,1,1,"15,227",7.0,8.2,8.1
01119,AL,Sumter County,8,6,8,6,"3,338",29.2,42.0,41.6
